PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
WINGATE PARK,BROOKLYN     ,5.888,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.848,0,0,0,0,0,0,0,0,2014,Jan,March
DE WITT CLINTON PARK,MANHATTAN    ,5.829,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.765,0,0,0,0,0,0,0,0,2014,Jan,March
VAN VOORHEES PARK,BROOKLYN     ,5.739,0,0,0,0,0,0,0,0,2014,Jan,March
HALLETS COVE PLAYGROUND,QUEENS       ,5.7,0,0,0,1,0,0,0,1,2014,Jan,March
MCKINLEY PARK,BROOKLYN     ,5.655,0,0,0,0,0,0,0,0,2014,Jan,March
SOUTHERN FIELDS,QUEENS       ,5.593,0,0,0,0,0,0,0,0,2014,Jan,March
DEVOE PARK,BRONX        ,5.44,0,0,0,1,0,0,0,1,2014,Jan,March
ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.43,0,0,0,0,0,1,0,1,2014,Jan,March
KENNEDY PLAYGROUND,QUEENS       ,5.4,0,0,0,0,0,0,0,0,2014,Jan,March
MAFERA PARK,QUEENS       ,5.4,0,0,0,0,0,1,0,1,2014,Jan,March
SEAGIRT AVE WETLANDS,QUEENS       ,5.323,0,0,0,0,0,0,0,0,2014,Jan,March
JOHN PAUL JONES PARK,BROOKLYN     ,5.317,0,0,0,0,0,0,0,0,2014,Jan,March
WALKER PARK,STATEN ISLAND,5.278,0,0,0,0,0,0,0,0,2014,Jan,March
OLD PLACE CREEK PARK,STATEN ISLAND,5.233,0,0,0,0,0,0,0,0,2014,Jan,March
HOOVER - MANTON PLAYGROUNDS,QUEENS       ,5.2,0,0,0,0,0,0,0,0,2014,Jan,March
GEN. DOUGLAS MACARTHUR PARK,STATEN ISLAND,5.165,0,0,0,0,0,0,0,0,2014,Jan,March
GROVER CLEVELAND PLAYGROUND,QUEENS       ,5.1,0,0,0,0,0,0,0,0,2014,Jan,March
POLICE OFFICER EDWARD BYRNE PARK,QUEENS       ,4.966,0,0,0,0,0,0,0,0,2014,Jan,March
CYPRESS HILLS PLAYGROUND,BROOKLYN     ,4.947,0,0,0,0,0,0,0,0,2014,Jan,March
SETH LOW PLAYGROUND/ BEALIN SQUARE,BROOKLYN     ,4.945,0,0,0,0,0,0,0,0,2014,Jan,March
KELLY PARK,BROOKLYN     ,4.896,0,0,0,0,0,0,0,0,2014,Jan,March
SOCRATES SCULPTURE PARK,QUEENS       ,4.893,0,0,0,0,0,0,0,0,2014,Jan,March
BEACH 9 PLAYGROUND,QUEENS       ,4.863,0,0,0,0,0,0,0,0,2014,Jan,March
SOUTH BEACH WETLANDS,STATEN ISLAND,4.794,0,0,0,0,0,0,0,0,2014,Jan,March
NAPLES PLAYGROUND,STATEN ISLAND,4.784,0,0,0,0,0,0,0,0,2014,Jan,March
RAOUL WALLENBERG FOREST,BRONX        ,4.73,0,0,0,0,0,0,0,0,2014,Jan,March
WEST HARLEM PIERS,MANHATTAN    ,4.712,0,0,0,0,0,0,0,0,2014,Jan,March
SPORTS PARK,STATEN ISLAND,4.647,0,0,0,0,0,0,0,0,2014,Jan,March
WASHINGTON'S WALK,BRONX        ,4.637,0,0,0,1,0,0,0,1,2014,Jan,March
CAMBRIA PLAYGROUND,QUEENS       ,4.635,0,0,0,0,0,0,0,0,2014,Jan,March
MARCONI PARK,QUEENS       ,4.635,0,0,0,0,0,0,0,0,2014,Jan,March
VALENTINO PIER,BROOKLYN     ,4.525,0,0,0,0,0,0,0,0,2014,Jan,March
GRANITEVILLE QUARRY PARK,STATEN ISLAND,4.465,0,0,0,0,0,0,0,0,2014,Jan,March
MONTBELLIER PARK,QUEENS       ,4.427,0,0,0,0,0,0,0,0,2014,Jan,March
QUARRY BALLFIELDS,BRONX        ,4.417,0,0,1,0,0,0,0,1,2014,Jan,March
RICHMAN (ECHO) PARK,BRONX        ,4.385,0,0,0,0,0,0,0,0,2014,Jan,March
JEROME PARK,BRONX        ,4.359,0,0,0,0,0,0,0,0,2014,Jan,March
CORLEARS HOOK PARK,MANHATTAN    ,4.355,0,0,0,0,0,0,0,0,2014,Jan,March
"PHIL ""SCOOTER"" RIZZUTO PARK",QUEENS       ,4.353,0,0,0,0,0,0,0,0,2014,Jan,March
ASPHALT GREEN,MANHATTAN    ,4.35,0,0,0,0,0,1,0,1,2014,Jan,March
FABER POOL AND PARK,STATEN ISLAND,4.339,0,0,0,0,0,0,0,0,2014,Jan,March
MACHATE CIRCLE,BROOKLYN     ,4.32,0,0,0,0,0,0,0,0,2014,Jan,March
HAMILTON FISH PARK,MANHATTAN    ,4.3,0,0,0,0,0,0,0,0,2014,Jan,March
TIFFANY STREET PIER,BRONX        ,4.231,0,0,0,0,0,0,0,0,2014,Jan,March
KINGDOM POND PARK,STATEN ISLAND,4.22,0,0,0,0,0,0,0,0,2014,Jan,March
COLUMBUS PARK BROOKLYN,BROOKLYN     ,4.14,0,0,0,0,0,0,0,0,2014,Jan,March
STAPLETON PLAYGROUND,STATEN ISLAND,4.096,0,0,0,0,0,0,0,0,2014,Jan,March
STERNBERG PARK,BROOKLYN     ,4.044,0,0,0,0,0,0,0,0,2014,Jan,March
COLUCCI PLAYGROUND,BRONX        ,4,0,0,0,0,0,0,0,0,2014,Jan,March
NORTHERLEIGH PARK,STATEN ISLAND,3.955,0,0,0,0,0,0,0,0,2014,Jan,March
STUYVESANT SQUARE,MANHATTAN    ,3.928,0,0,0,0,0,0,0,0,2014,Jan,March
LAST CHANCE POND PARK,STATEN ISLAND,3.903,0,0,0,0,0,0,0,0,2014,Jan,March
CHELSEA PARK,MANHATTAN    ,3.9,0,0,0,0,0,2,0,2,2014,Jan,March
FORDHAM LANDING PLAYGROUND,BRONX        ,3.9,0,0,0,0,0,0,0,0,2014,Jan,March
NORTH 5TH STREET PIER AND PARK,BROOKLYN     ,3.882,0,0,0,0,0,1,0,1,2014,Jan,March
HAGGERTY PARK,QUEENS       ,3.867,0,0,0,0,0,0,0,0,2014,Jan,March
JACOB H. SCHIFF PLAYGROUND,MANHATTAN    ,3.852,0,0,0,1,0,0,0,1,2014,Jan,March
GRANT PARK,BRONX        ,3.85,0,0,0,0,0,0,0,0,2014,Jan,March
EAST ELMHURST PLAYGROUND,QUEENS       ,3.827,0,0,0,0,0,0,0,0,2014,Jan,March
JOSEPH AUSTIN PLAYGROUND,QUEENS       ,3.814,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,QUEENS       ,3.809,0,0,0,0,0,0,0,0,2014,Jan,March
LINCOLN CENTER PLAZA,MANHATTAN    ,3.8,0,0,0,0,0,0,0,0,2014,Jan,March
INGRAM WOODS,STATEN ISLAND,3.77,0,0,0,0,0,0,0,0,2014,Jan,March
FARM PLAYGROUND,QUEENS       ,3.757,0,0,0,0,0,0,0,0,2014,Jan,March
HINTON PARK,QUEENS       ,3.735,0,0,0,0,0,0,0,0,2014,Jan,March
LOUIS PASTEUR PARK,QUEENS       ,3.673,0,0,0,0,0,0,0,0,2014,Jan,March
WHITEY FORD FIELD,QUEENS       ,3.622,0,0,0,0,0,0,0,0,2014,Jan,March
POMONOK PLAYGROUND,QUEENS       ,3.596,0,0,0,0,0,0,0,0,2014,Jan,March
CLAWSON PLAYGROUND,STATEN ISLAND,3.593,0,0,0,0,0,0,0,0,2014,Jan,March
BENNETT REST,MANHATTAN    ,3.567,0,0,0,0,0,0,0,0,2014,Jan,March
GOVERNOR SMITH PLAYGROUND,BRONX        ,3.564,0,0,0,0,0,0,0,0,2014,Jan,March
PAERDEGAT PARK,BROOKLYN     ,3.56,0,0,0,0,0,0,0,0,2014,Jan,March
AMERSFORT PARK,BROOKLYN     ,3.557,0,0,0,0,0,0,0,0,2014,Jan,March
CITY LINE PARK,BROOKLYN     ,3.552,0,0,0,0,0,0,0,0,2014,Jan,March
BAILEY PLAYGROUND,BRONX        ,3.533,0,0,0,0,0,0,0,0,2014,Jan,March
NAUTILUS PLAYGROUND QUEENS,QUEENS       ,3.52,0,0,0,0,0,0,0,0,2014,Jan,March
VINMONT VETERAN PARK,BRONX        ,3.5,0,0,0,0,0,0,0,0,2014,Jan,March
MCDONALD PLAYGROUND BROOKLYN,BROOKLYN     ,3.485,0,0,0,0,0,0,0,0,2014,Jan,March
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,QUEENS       ,3.474,0,0,0,0,0,0,0,0,2014,Jan,March
WEGENER PARK,STATEN ISLAND,3.464,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,QUEENS       ,3.43,0,0,0,0,0,0,0,0,2014,Jan,March
JULIO CARBALLO FIELDS,BRONX        ,3.428,0,0,0,0,0,0,0,0,2014,Jan,March
GRADY PLAYGROUND,BROOKLYN     ,3.403,0,0,0,0,0,0,0,0,2014,Jan,March
BREININGER PARK,QUEENS       ,3.4,0,0,0,0,0,0,0,0,2014,Jan,March
CO-OP CITY FIELD,BRONX        ,3.4,0,0,0,0,0,0,0,0,2014,Jan,March
ST. MICHAEL'S PARK,QUEENS       ,3.4,0,0,0,1,0,2,0,3,2014,Jan,March
GREENWOOD PLAYGROUND,BROOKLYN     ,3.39,0,0,0,0,0,0,0,0,2014,Jan,March
ST. ANDREW'S PLAYGROUND,BROOKLYN     ,3.38,0,0,1,0,0,0,0,1,2014,Jan,March
SEWARD PARK,MANHATTAN    ,3.361,0,0,0,0,0,0,0,0,2014,Jan,March
BEHAGEN PLAYGROUND,BRONX        ,3.348,0,0,1,0,0,0,0,1,2014,Jan,March
DUGAN PLAYGROUND,STATEN ISLAND,3.333,0,0,0,0,0,0,0,0,2014,Jan,March
EVERGREEN PARK,QUEENS       ,3.32,0,0,0,0,0,0,0,0,2014,Jan,March
JOHN JAY PARK,MANHATTAN    ,3.312,0,0,0,0,0,0,0,0,2014,Jan,March
UNIVERSITY WOODS,BRONX        ,3.306,0,0,0,0,0,0,0,0,2014,Jan,March
WATSON GLEASON PLAYGROUND,BRONX        ,3.301,0,0,0,0,0,0,0,0,2014,Jan,March
TOTTENVILLE POOL,STATEN ISLAND,3.259,0,0,0,0,0,0,0,0,2014,Jan,March
VITO LOCASCIO FIELD,QUEENS       ,3.258,0,0,0,0,0,0,0,0,2014,Jan,March
CALLAHAN-KELLY PLAYGROUND,BROOKLYN     ,3.253,0,0,0,1,0,0,0,1,2014,Jan,March
JUDGE MOSES WEINSTEIN PLAYGROUND,QUEENS       ,3.25,0,0,0,0,0,0,0,0,2014,Jan,March
COLUMBUS PARK AT MANHATTAN,MANHATTAN    ,3.233,0,0,0,0,0,0,0,0,2014,Jan,March
GREENCROFT PLAYGROUND,STATEN ISLAND,3.23,0,0,0,0,0,0,0,0,2014,Jan,March
BILL BROWN PLAYGROUND,BROOKLYN     ,3.214,0,0,0,0,0,0,0,0,2014,Jan,March
SARATOGA PARK,BROOKLYN     ,3.214,0,0,0,0,0,1,0,1,2014,Jan,March
SCARANGELLA PARK,BROOKLYN     ,3.214,0,0,0,0,0,0,0,0,2014,Jan,March
JAMAICA PLAYGROUND,QUEENS       ,3.21,0,0,1,0,0,0,0,1,2014,Jan,March
NOBLE PLAYGROUND,BRONX        ,3.21,0,0,0,0,0,0,0,0,2014,Jan,March
MARCY PLAYGROUND,BROOKLYN     ,3.201,0,0,0,0,0,0,0,0,2014,Jan,March
LYONS POOL,STATEN ISLAND,3.195,0,0,0,0,0,0,0,0,2014,Jan,March
WAYANDA PARK,QUEENS       ,3.17,0,0,0,0,0,0,0,0,2014,Jan,March
AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.169,0,0,0,0,0,0,0,0,2014,Jan,March
HOLCOMBE RUCKER PARK,MANHATTAN    ,3.125,0,0,0,1,0,0,0,1,2014,Jan,March
JESSE OWENS PLAYGROUND,BROOKLYN     ,3.1,0,0,0,0,0,0,0,0,2014,Jan,March
EAST RIVER WALK,MANHATTAN    ,3.089,0,0,0,0,0,0,0,0,2014,Jan,March
PARK OF THE AMERICAS,QUEENS       ,3.076,0,0,1,0,0,0,0,1,2014,Jan,March
BROOKLYN HEIGHTS PROMENADE,BROOKLYN     ,3.035,0,0,0,0,0,0,0,0,2014,Jan,March
J.J. BYRNE PLAYGROUND,BROOKLYN     ,3.03,0,0,0,0,0,2,0,2,2014,Jan,March
HERO PARK,STATEN ISLAND,3.024,0,0,0,0,0,0,0,0,2014,Jan,March
NOSTRAND PLAYGROUND,BROOKLYN     ,3.023,0,0,1,0,0,0,0,1,2014,Jan,March
FORT INDEPENDENCE PLAYGROUND,BRONX        ,3.02,0,0,0,0,0,0,0,0,2014,Jan,March
BROWNSVILLE PLAYGROUND,BROOKLYN     ,3.017,0,0,0,0,0,0,0,0,2014,Jan,March
GRANDVIEW PLAYGROUND,STATEN ISLAND,3.014,0,0,0,0,0,0,0,0,2014,Jan,March
LAWRENCE VIRGILIO PLAYGROUND,QUEENS       ,3.009,0,0,0,0,0,1,0,1,2014,Jan,March
JACOB JOFFE FIELDS,BROOKLYN     ,2.984,0,0,0,0,0,0,0,0,2014,Jan,March
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,BROOKLYN     ,2.982,0,0,0,0,0,0,0,0,2014,Jan,March
UTOPIA PLAYGROUND,QUEENS       ,2.98,0,0,0,0,0,0,0,0,2014,Jan,March
BATH BEACH PARK,BROOKLYN     ,2.964,0,0,0,0,0,0,0,0,2014,Jan,March
GLEN OAKS OVAL,QUEENS       ,2.948,0,0,0,0,0,0,0,0,2014,Jan,March
MERRIAM PLAYGROUND,BRONX        ,2.944,0,0,0,0,0,0,0,0,2014,Jan,March
POSEIDON PLAYGROUND,BROOKLYN     ,2.944,0,0,0,0,0,0,0,0,2014,Jan,March
ROBERT E. VENABLE PARK,BROOKLYN     ,2.939,0,0,0,0,0,0,0,0,2014,Jan,March
LEFFERTS PLAYGROUND,QUEENS       ,2.937,0,0,0,0,0,0,0,0,2014,Jan,March
WALT WHITMAN PARK,BROOKLYN     ,2.913,0,0,0,0,0,0,0,0,2014,Jan,March
WESTERLEIGH PARK,STATEN ISLAND,2.889,0,0,1,0,0,0,0,1,2014,Jan,March
PETERS FIELD,QUEENS       ,2.872,0,0,0,0,0,0,0,0,2014,Jan,March
DELPHIN H. GREENE PLAYGROUND,QUEENS       ,2.861,0,0,0,0,0,0,0,0,2014,Jan,March
HOFFMAN PARK,QUEENS       ,2.857,0,0,1,0,0,0,0,1,2014,Jan,March
MARKHAM PLAYGROUND,STATEN ISLAND,2.836,0,0,0,0,0,0,0,0,2014,Jan,March
SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.799,0,0,0,0,0,0,0,0,2014,Jan,March
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.783,0,0,1,0,0,0,0,1,2014,Jan,March
IRVING SQUARE PARK,BROOKLYN     ,2.76,0,0,0,0,0,0,0,0,2014,Jan,March
ST. VARTAN PARK,MANHATTAN    ,2.759,0,0,0,0,0,0,0,0,2014,Jan,March
RAVENSWOOD PLAYGROUND,QUEENS       ,2.758,0,0,0,0,0,0,0,0,2014,Jan,March
GORMAN PLAYGROUND,QUEENS       ,2.755,0,0,0,0,0,0,0,0,2014,Jan,March
LOUIS CUVILLIER PARK,MANHATTAN    ,2.752,0,0,0,0,0,0,0,0,2014,Jan,March
GRACE PLAYGROUND,BROOKLYN     ,2.744,0,0,0,0,0,0,0,0,2014,Jan,March
GREEN CENTRAL KNOLL,BROOKLYN     ,2.741,0,0,0,0,0,0,0,0,2014,Jan,March
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.719,0,0,0,0,0,0,0,0,2014,Jan,March
HOLY COW PLAYGROUND,QUEENS       ,2.7,0,0,0,0,0,0,0,0,2014,Jan,March
BAYSIDE FIELDS,QUEENS       ,2.69,0,0,0,0,0,0,0,0,2014,Jan,March
HICKMAN PLAYGROUND,BROOKLYN     ,2.656,0,0,0,0,0,0,0,0,2014,Jan,March
ARBUTUS WOODS PARK,STATEN ISLAND,2.65,0,0,0,0,0,0,0,0,2014,Jan,March
STARS & STRIPES PLAYGROUND,BRONX        ,2.646,0,0,0,0,0,0,0,0,2014,Jan,March
P.O. SERRANO PLAYGROUND,BRONX        ,2.618,0,0,0,0,0,0,0,0,2014,Jan,March
COLEMAN PLAYGROUND,MANHATTAN    ,2.61,0,0,0,0,0,1,0,1,2014,Jan,March
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.6,0,0,0,0,0,0,0,0,2014,Jan,March
KATHY REILLY TRIANGLE,BROOKLYN     ,2.589,0,0,0,0,0,0,0,0,2014,Jan,March
RIVERDALE PLAYGROUND,BRONX        ,2.58,0,0,0,0,0,0,0,0,2014,Jan,March
MARIE CURIE PARK,QUEENS       ,2.552,0,0,0,0,0,0,0,0,2014,Jan,March
EDENWALD PLAYGROUND,BRONX        ,2.537,0,0,0,0,0,0,0,0,2014,Jan,March
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.525,0,0,0,0,0,0,0,0,2014,Jan,March
MURRAY PLAYGROUND,QUEENS       ,2.524,0,0,1,0,0,0,0,1,2014,Jan,March
BATHGATE PLAYGROUND,BRONX        ,2.5,0,0,0,0,0,0,0,0,2014,Jan,March
BIG BUSH PARK,QUEENS       ,2.5,0,0,0,0,0,0,0,0,2014,Jan,March
JOSEPH RODMAN DRAKE PARK,BRONX        ,2.49,0,0,0,0,0,0,0,0,2014,Jan,March
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.476,0,0,0,0,0,0,0,0,2014,Jan,March
ALLEY PARK,QUEENS       ,2.446,0,0,0,0,0,0,0,0,2014,Jan,March
FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.445,0,0,0,0,0,0,0,0,2014,Jan,March
DAMROSCH PARK,MANHATTAN    ,2.443,0,0,0,0,0,0,0,0,2014,Jan,March
ASSER LEVY PLAYGROUND,MANHATTAN    ,2.436,0,0,0,0,0,1,0,1,2014,Jan,March
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.427,0,0,0,0,0,0,0,0,2014,Jan,March
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.412,0,0,0,0,0,0,0,0,2014,Jan,March
DUTCH KILLS PLAYGROUND,QUEENS       ,2.4,0,0,1,0,0,0,0,1,2014,Jan,March
KOSCIUSZKO POOL,BROOKLYN     ,2.391,0,0,0,0,0,0,0,0,2014,Jan,March
WEST PLAYGROUND,BROOKLYN     ,2.387,0,0,0,0,0,0,0,0,2014,Jan,March
HOMECREST PLAYGROUND,BROOKLYN     ,2.372,0,0,1,0,0,0,0,1,2014,Jan,March
DE MATTI PLAYGROUND,STATEN ISLAND,2.335,0,0,0,0,0,0,0,0,2014,Jan,March
POE PARK,BRONX        ,2.331,0,0,1,0,0,0,0,1,2014,Jan,March
OVERLOOK PARK,QUEENS       ,2.327,0,0,0,0,0,0,0,0,2014,Jan,March
BARUCH PLAYGROUND,MANHATTAN    ,2.32,0,0,0,0,0,0,0,0,2014,Jan,March
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2014,Jan,March
OSBORN PLAYGROUND,BROOKLYN     ,2.3,0,0,0,0,0,1,0,1,2014,Jan,March
RAILROAD PLAYGROUND,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2014,Jan,March
TRIBORO PLAZA,MANHATTAN    ,2.3,0,0,0,0,0,0,0,0,2014,Jan,March
POWER PLAYGROUND,BROOKLYN     ,2.295,0,0,0,0,0,0,0,0,2014,Jan,March
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.291,0,0,0,0,0,0,0,0,2014,Jan,March
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29,0,0,0,1,0,0,0,1,2014,Jan,March
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.289,0,0,0,0,0,0,0,0,2014,Jan,March
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.288,0,0,0,0,0,0,0,0,2014,Jan,March
CENTURY PLAYGROUND,BROOKLYN     ,2.282,0,0,0,0,0,0,0,0,2014,Jan,March
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.264,0,0,0,1,0,0,0,1,2014,Jan,March
NORTH SHORE ESPLANADE,STATEN ISLAND,2.252,0,0,0,0,0,0,0,0,2014,Jan,March
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25,0,0,0,0,0,0,0,0,2014,Jan,March
VLEIGH PLAYGROUND,QUEENS       ,2.243,0,0,0,0,0,0,0,0,2014,Jan,March
LAREDO AVENUE PARCEL,STATEN ISLAND,2.223,0,0,0,0,0,0,0,0,2014,Jan,March
FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.217,0,0,0,0,0,0,0,0,2014,Jan,March
BELMONT PLAYGROUND BRONX,BRONX        ,2.213,0,0,0,0,0,0,0,0,2014,Jan,March
MAHONEY PLAYGROUND,STATEN ISLAND,2.21,0,0,0,0,0,0,0,0,2014,Jan,March
ANCHORAGE PLAZA,BROOKLYN     ,2.2,0,0,0,0,0,0,0,0,2014,Jan,March
ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.2,0,0,0,0,0,0,0,0,2014,Jan,March
HOYT PLAYGROUND,QUEENS       ,2.2,0,0,0,0,0,0,0,0,2014,Jan,March
LORETO PLAYGROUND,BRONX        ,2.181,0,0,0,0,0,0,0,0,2014,Jan,March
HARDING PARK,BRONX        ,2.16,0,0,0,0,0,1,0,1,2014,Jan,March
WASHINGTON MARKET PARK,MANHATTAN    ,2.15,0,0,0,0,0,0,0,0,2014,Jan,March
VIDALIA PARK,BRONX        ,2.136,0,0,0,0,0,0,0,0,2014,Jan,March
UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.13,0,0,0,0,0,0,0,0,2014,Jan,March
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.117,0,0,0,0,0,3,0,3,2014,Jan,March
HAMILTON METZ FIELD,BROOKLYN     ,2.112,0,0,0,0,0,0,0,0,2014,Jan,March
CARDOZO PLAYGROUND,QUEENS       ,2.096,0,0,0,0,0,0,0,0,2014,Jan,March
CENTREVILLE PLAYGROUND,QUEENS       ,2.095,0,0,0,0,0,0,0,0,2014,Jan,March
REDFERN PLAYGROUND,QUEENS       ,2.093,0,0,0,0,0,0,0,0,2014,Jan,March
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.087,0,0,0,0,0,0,0,0,2014,Jan,March
STORY PLAYGROUND,BRONX        ,2.075,0,0,0,0,0,0,0,0,2014,Jan,March
SAKURA PARK,MANHATTAN    ,2.067,0,0,0,0,0,0,0,0,2014,Jan,March
LINNAEUS PARK,QUEENS       ,2.066,0,0,0,0,0,0,0,0,2014,Jan,March
CASTLEWOOD PLAYGROUND,QUEENS       ,2.059,0,0,0,0,0,0,0,0,2014,Jan,March
SKYLINE PLAYGROUND,STATEN ISLAND,2.057,0,0,0,0,0,0,0,0,2014,Jan,March
CLOVE'S TAIL,STATEN ISLAND,2.056,0,0,0,0,0,0,0,0,2014,Jan,March
DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.043,0,0,0,0,0,0,0,0,2014,Jan,March
CHALLENGE PLAYGROUND,QUEENS       ,2.035,0,0,0,0,0,0,0,0,2014,Jan,March
TORSNEY PLAYGROUND,QUEENS       ,2.027,0,0,0,0,0,1,0,1,2014,Jan,March
LOCUST MANOR PLAYGROUND,QUEENS       ,2.003,0,0,0,0,0,0,0,0,2014,Jan,March
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2,0,0,0,0,0,0,0,0,2014,Jan,March
FULTON PARK,BROOKLYN     ,1.987,0,0,1,0,0,0,0,1,2014,Jan,March
ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.984,0,0,0,0,0,0,0,0,2014,Jan,March
MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.978,0,0,1,0,0,0,0,1,2014,Jan,March
MCLAUGHLIN PARK,BROOKLYN     ,1.976,0,0,0,1,0,0,0,1,2014,Jan,March
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.974,0,0,0,0,0,0,0,0,2014,Jan,March
SUMNER PLAYGROUND,BROOKLYN     ,1.97,0,0,0,0,0,0,0,0,2014,Jan,March
ROSEMARY'S PLAYGROUND,QUEENS       ,1.967,0,0,0,0,0,0,0,0,2014,Jan,March
SAUL WEPRIN PLAYGROUND,QUEENS       ,1.964,0,0,0,0,0,0,0,0,2014,Jan,March
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.945,0,0,0,1,0,0,0,1,2014,Jan,March
UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.94,0,0,0,0,0,0,0,0,2014,Jan,March
BRIDGE PARK 3,BROOKLYN     ,1.934,0,0,0,0,0,0,0,0,2014,Jan,March
THE PAINTER'S PLAYGROUND,QUEENS       ,1.932,0,0,0,0,0,0,0,0,2014,Jan,March
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93,0,0,0,0,0,0,0,0,2014,Jan,March
TERRACE PLAYGROUND,STATEN ISLAND,1.922,0,0,0,0,0,0,0,0,2014,Jan,March
TRAVERS PARK,QUEENS       ,1.919,0,0,0,0,0,1,0,1,2014,Jan,March
BUFANO PARK,BRONX        ,1.904,0,0,0,0,0,1,0,1,2014,Jan,March
DIMATTINA PLAYGROUND,BROOKLYN     ,1.9,0,0,0,0,0,0,0,0,2014,Jan,March
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.894,0,0,0,0,0,0,0,0,2014,Jan,March
GORMAN PARK,MANHATTAN    ,1.89,0,0,0,0,0,0,0,0,2014,Jan,March
WILLIS PLAYGROUND,BRONX        ,1.882,0,0,0,1,0,0,0,1,2014,Jan,March
WEST BRONX RECREATION CENTER,BRONX        ,1.88,0,0,0,0,0,0,0,0,2014,Jan,March
THOMAS PAINE PARK,MANHATTAN    ,1.875,0,0,0,0,0,0,0,0,2014,Jan,March
CARROLL PARK,BROOKLYN     ,1.874,0,0,0,0,0,1,0,1,2014,Jan,March
COLGATE CLOSE,BRONX        ,1.871,0,0,0,0,0,0,0,0,2014,Jan,March
LONDON PLANETREE PLAYGROUND,QUEENS       ,1.837,0,0,0,0,0,0,0,0,2014,Jan,March
SUTTER BALLFIELDS,BROOKLYN     ,1.836,0,0,0,0,0,0,0,0,2014,Jan,March
TAAFFE PLAYGROUND,BROOKLYN     ,1.821,0,0,0,0,0,0,0,0,2014,Jan,March
GIVAN SQUARE,BRONX        ,1.82,0,0,0,0,0,0,0,0,2014,Jan,March
THOMAS BOYLAND PARK,BROOKLYN     ,1.82,0,0,0,0,0,0,0,0,2014,Jan,March
HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.816,0,0,0,0,0,0,0,0,2014,Jan,March
REV J POLITE PLAYGROUND,BRONX        ,1.815,0,0,0,0,0,0,0,0,2014,Jan,March
MAPES BALLFIELD,BRONX        ,1.806,0,0,0,0,0,0,0,0,2014,Jan,March
MIDLAND MALLS,QUEENS       ,1.803,0,0,0,0,0,0,0,0,2014,Jan,March
BENNETT PARK,MANHATTAN    ,1.8,0,0,0,0,0,0,0,0,2014,Jan,March
